Population	Locus	Probability_of_Exclusion(PE)	Probability_of_Inclusion(PI)	Adjusted_PE²	Adjusted_PI²	Adjusted_PE³	Adjusted_PI³
AFR	CSF1PO	9.99943467691785855616E-1	5.65323082141443835152E-5	9.93217121942747780534E-1	6.78287805725221946563E-3	9.93217121942747780534E-1	6.78287805725221946563E-3
AFR	D10S1248	9.99777233236801069280E-1	2.22766763198930719537E-4	9.93316271208893620440E-1	6.68372879110637956039E-3	9.93316271208893620440E-1	6.68372879110637956039E-3
AFR	D12S391	9.99943467691785855616E-1	5.65323082141443835152E-5	9.93266787826630159409E-1	6.73321217336984059149E-3	9.93266787826630159409E-1	6.73321217336984059149E-3
AFR	D13S317	9.99943467691785855616E-1	5.65323082141443835152E-5	9.93217121942747780534E-1	6.78287805725221946563E-3	9.93217121942747780534E-1	6.78287805725221946563E-3
AFR	D16S539	9.99777233236801069280E-1	2.22766763198930719537E-4	9.84961610220010645989E-1	1.50383897799893540109E-2	9.84961610220010645989E-1	1.50383897799893540109E-2
AFR	D18S51	9.99943467691785855616E-1	5.65323082141443835152E-5	9.84738524371182506202E-1	1.52614756288174937977E-2	9.84738524371182506202E-1	1.52614756288174937977E-2
AFR	D19S433	9.99777233236801069280E-1	2.22766763198930719537E-4	9.73265084835574481758E-1	2.67349151644255182415E-2	9.73265084835574481758E-1	2.67349151644255182415E-2
AFR	D1S1656	9.99943467691785855616E-1	5.65323082141443835152E-5	9.98304280485686945134E-1	1.69571951431305486641E-3	9.98304280485686945134E-1	1.69571951431305486641E-3
AFR	D21S11	9.99943467691785855616E-1	5.65323082141443835152E-5	9.93217121942747780534E-1	6.78287805725221946563E-3	9.93217121942747780534E-1	6.78287805725221946563E-3
AFR	D22S1045	9.99943467691785855616E-1	5.65323082141443835152E-5	9.93217121942747780534E-1	6.78287805725221946563E-3	9.93217121942747780534E-1	6.78287805725221946563E-3
AFR	D2S1338	9.99777233236801069280E-1	2.22766763198930719537E-4	9.73265084835574481758E-1	2.67349151644255182415E-2	9.73265084835574481758E-1	2.67349151644255182415E-2
AFR	D2S441	9.99777233236801069280E-1	2.22766763198930719537E-4	9.73265084835574481758E-1	2.67349151644255182415E-2	9.73265084835574481758E-1	2.67349151644255182415E-2
AFR	D3S1358	9.99943467691785855616E-1	5.65323082141443835152E-5	9.93266787826630159409E-1	6.73321217336984059149E-3	9.93266787826630159409E-1	6.73321217336984059149E-3
AFR	D5S818	9.99943467691785855616E-1	5.65323082141443835152E-5	9.93217121942747780534E-1	6.78287805725221946563E-3	9.93217121942747780534E-1	6.78287805725221946563E-3
AFR	D7S820	9.99943467691785855616E-1	5.65323082141443835152E-5	9.84738524371182506202E-1	1.52614756288174937977E-2	9.84738524371182506202E-1	1.52614756288174937977E-2
AFR	D8S1179	9.99943467691785855616E-1	5.65323082141443835152E-5	9.84738524371182506202E-1	1.52614756288174937977E-2	9.84738524371182506202E-1	1.52614756288174937977E-2
AFR	FGA	9.99943467691785855616E-1	5.65323082141443835152E-5	9.98304280485686945134E-1	1.69571951431305486641E-3	9.98304280485686945134E-1	1.69571951431305486641E-3
AFR	TH01	9.99777233236801069280E-1	2.22766763198930719537E-4	9.84961610220010645989E-1	1.50383897799893540109E-2	9.84961610220010645989E-1	1.50383897799893540109E-2
AFR	TPOX	9.99777233236801069280E-1	2.22766763198930719537E-4	9.84961610220010645989E-1	1.50383897799893540109E-2	9.84961610220010645989E-1	1.50383897799893540109E-2
AFR	vWA	9.99943467691785855616E-1	5.65323082141443835152E-5	9.84813068822410803974E-1	1.51869311775891960257E-2	9.84813068822410803974E-1	1.51869311775891960257E-2
AFR	All_loci	1.00000000000000000000E+0	8.23071958151542135332E-36	1.00000000000000000000E+0	4.38875716538970662812E-41	1.00000000000000000000E+0	4.38875716538970662812E-41
AMR	CSF1PO	9.99861591695501730104E-1	1.38408304498269896194E-4	9.83711666122828468387E-1	1.62883338771715316130E-2	9.83711666122828468387E-1	1.62883338771715316130E-2
AMR	D10S1248	9.99459167117360735533E-1	5.40832882639264467280E-4	9.84078347022848395411E-1	1.59216529771516045890E-2	9.84078347022848395411E-1	1.59216529771516045890E-2
AMR	D12S391	9.99861591695501730104E-1	1.38408304498269896194E-4	9.83895528380094875963E-1	1.61044716199051240371E-2	9.83895528380094875963E-1	1.61044716199051240371E-2
AMR	D13S317	9.99861591695501730104E-1	1.38408304498269896194E-4	9.83711666122828468387E-1	1.62883338771715316130E-2	9.83711666122828468387E-1	1.62883338771715316130E-2
AMR	D16S539	9.99459167117360735533E-1	5.40832882639264467280E-4	9.64176280801408889675E-1	3.58237191985911103253E-2	9.64176280801408889675E-1	3.58237191985911103253E-2
AMR	D18S51	9.99861591695501730104E-1	1.38408304498269896194E-4	9.63351248776364053871E-1	3.66487512236359461292E-2	9.63351248776364053871E-1	3.66487512236359461292E-2
AMR	D19S433	9.99459167117360735533E-1	5.40832882639264467280E-4	9.36313388091393581644E-1	6.36866119086064183561E-2	9.36313388091393581644E-1	6.36866119086064183561E-2
AMR	D1S1656	9.99861591695501730104E-1	1.38408304498269896194E-4	9.95927916530707117097E-1	4.07208346929288290324E-3	9.95927916530707117097E-1	4.07208346929288290324E-3
AMR	D21S11	9.99861591695501730104E-1	1.38408304498269896194E-4	9.83711666122828468387E-1	1.62883338771715316130E-2	9.83711666122828468387E-1	1.62883338771715316130E-2
